Австрия, Вена, евро, EUR, Austria, ,
Польша, Варшава, злотый, PLN, Poland, , 
Португалия, Лиссабон, евро, EUR, Portugal, ,
Россия, Москва, рубль, RUB, Russia, ,
Российская Федерация, Москва, рубль, RUB, Russia, ,
Рф, Москва, рубль, RUB, Russia, ,
Румыния, Бухарест, румынский лей, RON, Romania, ,
Сан-Марино, Сан-Марино, евро, EUR, San Marino, ,
Светлейшая Республика Сан-Марино, Сан-Марино, евро, EUR, San Marino, ,
Сербия, Белград, сербский динар, RSD, Serbia, ,
Словакия, Братислава, евро, EUR, Slovakia, ,
Словения, Любляна, евро, EUR, Slovenia, ,
Украина, Киев, гривна, UAH, Ukraine, ,
Финляндия, Хельсинки, евро, EUR, Finland, ,
Франция, Париж, евро, EUR, France, ,
Хорватия, Загреб, куна, HRK, Croatia, ,
Черногория, Подгорица, евро, EUR, Montenegro, ,
Чехия, Прага, чешская крона, CZK, Czech Republic, ,
Швейцария, Берн, швейцарский франк, CHF, Switzerland, ,
Швеция, Стокгольм, крона, SEK, Sweden, ,
Эстония, Таллин, евро, EUR, Estonia, ,
Азербайджан, Баку, манат, AZN, Azerbaijan, ,
Армения, Ереван, драм, AMD, Armenia, ,
Афганистан, Кабул, афгани, AFN, Afghanistan, ,
Бангладеш, Дакка, така, BDT, Bangladesh, ,
Бахрейн, Манама, бахрейнский динар, BHD, Bahrain, ,
Бруней, Бандар-Сери-Бегаван, ринггит Брунея, BND, Brunei, ,
Бутан, Тхимпху, нгултрум, BTN, Bhutan, ,
Друк-Юл, Тхимпху, нгултрум, BTN, Bhutan, ,
Восточный Тимор, Дили, доллар США, USD, Timor-Leste, ,
Тимор-Лешти, Дили, доллар США, USD, Timor-Leste, ,
Тимор-Лесте, Дили, доллар США, USD, Timor-Leste, ,
Демократическая Республика Тимор-Лешти, Дили, доллар США, USD, Timor-Leste, ,
Вьетнам, Ханой, донг, VND, Vietnam, ,
Срв, Ханой, донг, VND, Vietnam, ,
Социалистическая Республика Вьетнам, Ханой, донг, VND, Vietnam, ,
Грузия, Тбилиси, лари, GEL, Georgia, ,
Израиль, Иерусалим, новый шекель, ILS, Israel, ,
Индия, Нью-Дели, индийская рупия, INR, India, ,
Индонезия, Джакарта, индонезийская рупия, IDR, Indonesia, ,
Иордания, Амман, иорданский динар, JOD, Jordan, ,
Ирак, Багдад, иракский динар, IQD, Iraq, ,
Иран, Тегеран, риал, IRR, Iran, ,
Исламская Республика Иран, Тегеран, риал, IRR, Iran, ,
Персия, Тегеран, риал, IRR, Iran, ,
Йемен, Сана, йеменский риал, YER, Yemen, ,
Казахстан, Астана, тенге, KZT, Kazakhstan, ,
Камбоджа, Пномпень, риель, KHR, Cambodia, ,
Второе Королевство Камбоджа, Пномпень, риель, KHR, Cambodia, ,
Кампучия, Пномпень, риель, KHR, Cambodia, ,
Катар, Доха, катарский риал, QAR, Qatar, ,
Кипр, Никосия, евро, EUR, Cyprus, ,
Республика Кипр, Никосия, евро, EUR, Cyprus, ,
Китай, Пекин, юань, CNY, China, ,
Кувейт, Эль-Кувейт, кувейтский динар, KWD, Kuwait, ,
Киргизия, Бишкек, сом, KGS, Kyrgyzstan, ,
Кыргызстан, Бишкек, сом, KGS, Kyrgyzstan, ,
Кыргызская Республика, Бишкек, сом, KGS, Kyrgyzstan, ,
Лаос, Вьентьян, кип, LAK, Laos, ,
Лаосская Народно-Демократическая Республика, Вьентьян, кип, LAK, Laos, ,
Ливан, Бейрут, лира, LBP, Lebanon, ,
Малайзия, Куала-Лумпур, ринггит, MYR, Malaysia, ,
Мальдивы, Мале, руфия, MVR, Maldives, ,
Монголия, Улан-Батор, тугрик, MNT, Mongolia, ,
Мьянма, Нейпьидо, кьят, MMK, Myanmar, ,
Бирма, Нейпьидо, кьят, MMK, Myanmar, ,
Непал, Катманду, непальская руфия, NPR, Nepal, ,
Объединенные Арабские Эмираты, Абу-Даби, дирхам ОАЭ, AED, United Arab Emirates, ,
Объединённые Арабские Эмираты, Абу-Даби, дирхам ОАЭ, AED, United Arab Emirates, ,
Оаэ, Абу-Даби, дирхам ОАЭ, AED, United Arab Emirates, ,
Оман, Маскат, оманский риал, OMR, Oman, ,
Пакистан, Исламабад, пакистанская рупия, PKR, Pakistan, ,
Исламская Республика Пакистан, Исламабад, пакистанская рупия, PKR, Pakistan, ,
Саудовская Аравия, Эр-Рияд, риал, SAR, Saudi Arabia, ,
Сингапур, Сингапур, сингапурский доллар, SGD, Singapore, ,
Сирия, Дамаск, лира, SYP, Syria, ,
Сирийская Арабская Республика, Дамаск, лира, SYP, Syria, ,
Сар, Дамаск, лира, SYP, Syria, ,
Корейская Народно-Демократическая Республика, Пхеньян, вона КНДР, KPW, North Korea, ,
Кндр, Пхеньян, вона КНДР, KPW, North Korea, ,
Северная Корея, Пхеньян, вона КНДР, KPW, North Korea, ,
Таджикистан, Душанбе, сомони, TJS, Tajikistan, ,
Таиланд, Бангкок, бат, THB, Thailand, ,
Сиам, Бангкок, бат, THB, Thailand, ,
Тайвань, Тайбэй, новый тайваньский доллар, TWD, Taiwan, ,
Китайская Республика, Тайбэй, новый тайваньский доллар, TWD, Taiwan, ,
Туркменистан, Ашхабад, манат, TMT, Turkmenistan, ,
Туркмения, Ашхабад, манат, TMT, Turkmenistan, ,
Турция, Анкара, турецкая лира, TRY, Turkey, ,
Узбекистан, Ташкент, сум, UZS, Uzbekistan, ,
Филиппины, Манила, песо, PHP, Philippines, ,
Шри-Ланка, Шри-Джаяварденепура-Котте, шри-ланкийская рупия, LKR, Sri Lanka, ,
Республика Корея, Сеул, южнокорейская вона, KRW, Sri Lanka, ,
Южная Корея, Сеул, южнокорейская вона, KRW, South Korea, ,
Япония, Токио, йена, JPY, Japan, , 
